City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,5.03,54,95,2.22,US,1675637682
1,udachnyy,66.4167,112.4,-34.2,73,98,0.69,RU,1675637889
2,kendari,-3.945,122.4989,25.58,88,100,1.23,ID,1675637889
3,ambon,-3.6954,128.1814,26.08,89,40,1.54,ID,1675637890
4,rikitea,-23.1203,-134.9692,26.17,74,3,6.78,PF,1675637890
5,hasaki,35.7333,140.8333,1.22,77,1,3.64,JP,1675637682
6,ushuaia,-54.8,-68.3,7.79,65,75,14.4,AR,1675637681
7,busselton,-33.65,115.3333,20.07,75,26,4.64,AU,1675637891
8,tuktoyaktuk,69.4541,-133.0374,-43.0,66,20,0.0,CA,1675637891
9,alice springs,-23.7,133.8833,19.75,52,0,0.51,AU,1675637891
10,mayo,38.8876,-76.5119,13.49,64,0,4.12,US,1675637892
11,mar del plata,-38.0023,-57.5575,30.01,45,0,5.14,AR,1675637885
12,saskylakh,71.9167,114.0833,-41.6,100,94,1.84,RU,1675637892
13,puerto ayora,-0.7393,-90.3518,29.98,91,35,3.13,EC,1675637892
14,gimli,50.6336,-96.9907,-9.99,73,66,3.6,CA,1675637776
15,mataura,-46.1927,168.8643,16.01,75,90,5.66,NZ,1675637893
16,gambela,8.25,34.5833,27.09,32,21,0.64,ET,1675637893
17,port hardy,50.6996,-127.4199,8.1,76,75,2.06,CA,1675637893
18,georgetown,5.4112,100.3354,25.96,100,20,0.51,MY,1675637823
19,hermanus,-34.4187,19.2345,21.56,87,89,5.01,ZA,1675637894
20,ribeira grande,38.5167,-28.7,16.54,90,100,5.81,PT,1675637894
21,broome,42.2506,-75.833,6.0,55,75,4.12,US,1675637894
22,port alfred,-33.5906,26.891,22.32,95,51,4.52,ZA,1675637895
23,galle,6.0367,80.217,24.91,88,93,0.86,LK,1675637895
24,meulaboh,4.1363,96.1285,23.79,88,100,2.59,ID,1675637895
25,krasnovishersk,60.4078,57.082,-20.13,99,88,1.57,RU,1675637896
26,sao joao da barra,-21.6403,-41.0511,25.05,94,32,1.17,BR,1675637896
27,ust-nera,64.5667,143.2,-37.51,100,100,0.45,RU,1675637759
28,san vicente,-26.6167,-54.1333,21.31,46,53,0.48,AR,1675637896
29,atuona,-9.8,-139.0333,25.86,78,44,8.52,PF,1675637897
30,manjo,4.8428,9.8217,22.45,90,65,0.55,CM,1675637897
31,east london,-33.0153,27.9116,23.72,84,39,5.4,ZA,1675637897
32,kralendijk,12.15,-68.2667,26.99,74,20,9.26,BQ,1675637898
33,windhoek,-22.5594,17.0832,16.35,93,100,0.45,NA,1675637841
34,hamilton,39.1834,-84.5333,10.69,60,40,8.75,US,1675637805
35,nizwa,22.9333,57.5333,20.04,60,71,0.75,OM,1675637895
36,cape town,-33.9258,18.4232,22.99,74,0,6.69,ZA,1675637898
37,torbay,47.6666,-52.7314,-3.57,75,75,8.23,CA,1675637899
38,coahuayana,18.7333,-103.6833,29.17,48,0,2.51,MX,1675637899
39,nushki,29.5542,66.0215,10.74,56,0,0.33,PK,1675637899
40,hirara,24.8,125.2833,21.92,83,40,6.69,JP,1675637899
41,tasiilaq,65.6145,-37.6368,-4.91,96,100,2.03,GL,1675637637
42,buala,-8.145,159.5921,25.16,92,100,4.15,SB,1675637900
43,cumberland,35.0502,-78.8664,8.65,96,100,2.57,US,1675637758
44,mangan,27.5167,88.5333,14.12,56,93,1.5,IN,1675637900
45,hithadhoo,-0.6,73.0833,27.01,70,86,4.3,MV,1675637901
46,sisimiut,66.9395,-53.6735,-19.21,95,100,3.31,GL,1675637828
47,punta arenas,-53.15,-70.9167,13.06,47,40,9.77,CL,1675637901
48,tadian,16.9956,120.8203,14.51,85,58,1.67,PH,1675637901
49,irbeyskoye,55.6428,95.4522,-24.72,100,100,1.06,RU,1675637902
50,bubaque,11.2833,-15.8333,24.64,61,60,6.61,GW,1675637902
